Corporation name,Address,City,Province/territory,Postal code,Country,Sector or industry,Offense address,Offense city,Offense province/territory,Case summary,Charges,Enforcement notification text,Enforcement notification URL,Result,Date of conviction,Court level,Nature of offense(s),Additional details about the nature of the offense,Legislative details,Date of sentencing,Place of sentencing,Sentence(s),Amount of fine(s),Sentencing details
NL Poulin Ltd.,2621 Kingsway,Vancouver,British Columbia,V5R 5H4,Canada,,,West Vancouver,British Columbia,,Not available,,,Guilty Plea,2010-07-07,,,,"Migratory Birds Convention Act, 1994 / MBCA - Section(s) / 5(a)",,"North Vancouver, BC",Fine,"$6,000",
Topwin Trading Co. Ltd.,12420 Vulcan Way,Richmond,British Columbia,V6V 1J8,Canada,,12420 Vulcan Way,Richmond,British Columbia,,Not Available,,,Guilty Plea,2010-09-12,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / 6(2),,,Fine|Penalty for the EDF,"$10,000",$10000
Canaport LNG Limited Partnership,2530 Red Head Rd,Saint John ,New Brunswick,E2L 3T5,Canada,,,Saint John ,New Brunswick,,Not available,"Death of 7500 migratory birds results in $750,000 penalty to Canaport LNG Limited Partnership",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/death-migratory-birds-canaport-partnership.html,Guilty Plea,2015-11-05,,,,"Migratory Birds Convention Act, 1994 / MBCA - Section(s) / 5.1(1)|Species at Risk Act /  / 97 (1.1)(b)(i)",,,Fine,"$750,000","Canaport LNG Limited Partnership was ordered to pay a total penalty of $750,000 on November 5, 2015, in New Brunswick Provincial court after pleading guilty to charges under both the Migratory Birds Convention Act, 1994, and the Species at Risk Act."
N.L. Poulin Ltd.,2621 Kingsway,Vancouver,British Columbia,V5R 5H4,Canada,,,West Vancouver,British Columbia,Not Available,Non Disponible,,,Guilty (Court Decision),2010-07-07,,,,"Migratory Birds Convention Act, 1994 /  / 5(a)",,North Vancouver,"Fine|Other penalty (provincial, charity, etc)","$6,000",
Ethiopian Spices,160 Baldwin St,Toronto,Ontario,M5T 3K7,Canada,,Lester B. Pearson International Airport,Mississauga,Ontario,"Following a 2004 inspection of shipping containers from Ethiopia, Environment Canada wildlife enforcement officers confiscated rugs possibly made from monkey, goat, and leopard skins. All international trade in primates and leopards is regulated by CITES, but no CITES permit accompanied the shipment. Experts from the Royal Ontario Museum and Trent University were asked to confirm the species used in constructing the rugs. The Canadian CITES office confirmed that import permits had not been issued for the shipment, and in February 2005, charges were laid against the importer of record Ethiopian Spices and its owner. Ethiopian Spices and its owner were charged with two counts each - one count for unlawful import of leopard and one for for unlawful import of colobus monkey. Although the counts for the importation of leopard were withdrawn owing to inconclusive DNA evidence, both the owner and Ethiopian Spices were convicted in November 2006 of importing colobus monkey derivates without a CITES permit. Ethiopian Spices was fined a total of $1125.",Not available,,,Guilty Plea,2006-11-28,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  / WAPPRIITA - Section(s) / 6(2),,,Fine,"$1,125",
2121063 Ontario Ltd. (Decorland),32 Allness Road,Brampton,Ontario,L7A 3N7,Canada,,Customs warehouse,Mississauga,Ontario,,Not available,,,Guilty Plea,2010-12-09,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / 8(b),,"Brampton, ON",Fine,"$8,000",Not available
Ontario corporation 3062424 (888 Auctions),"280 West Beaver Creek Rd , #15",Richmond Hill,Ontario,L4B 3Z1,Canada,,888 Auctions (Ontario) and the USA,Richmond Hill,Ontario,,Not Available,Ontario man guilty of smuggling elephant ivory,https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/ontario-man-smuggling-elephant-ivory.html,Guilty Plea,2016-11-14,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / 7. (2) ; 8. (C) ,,"Newmarket, Ontario",Fine,"$6,250",Pleaded guilty
Nature 3M inc. ,943 rue Saint-Cyrille Normandin,Québec,Quebec,G8M 4H9,Canada,,"Normandin, Roberval district and elsewhere in Quebec",Roberval,Quebec,,Not Available,Illegal transport of polar bear skins from Quebec,https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/illegal-transport-polar-bear-skins-quebec.html,Guilty Plea,2017-01-20,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / 7(2),,,Fine,"$5,000",
Out of Africa Taxidermy and Safari Operators Inc.,7289 Durham Rd,Mount Albert,Ontario,L0G 1M0,Canada,,Montréal Pierre-Elliott Trudeau (Dorval) international airport,Montreal,Quebec,Import of elephant hunting trophies (ivory) without permit.,Not Available,,,Guilty Plea,2016-01-12,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / 6(2),,,Fine,"$5,000",
Tin Shing Hong Ltd.,11 Alderbury Drive,Markham,Ontario,L3S 3V2,Canada,,Place of business,Markham,Ontario,,Not Available,,,Guilty Plea,2010-11-09,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / 6(2),,"Mississauga, ON",Fine,"$4,500",
1762690 Ontario Inc. (Piroli Construction),"1500 Oullette Ave, 201",Windsor,Ontario,N8X 1K7,Canada,,"A construction site on Seacliff Drive in Leamington, Ontario",Leamington,Ontario,,Not available,"Bank Swallow eggs, nests and nest shelters destroyed by construction company",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/bank-swallow-nests-destroyed-company.html,Guilty Plea,2016-02-09,,,,"Migratory Birds Convention Act, 1994 / Migratory Birds Regulations / 6.(a)",,,Fine,"$7,500",
Brookfield Residential Services Ltd.,"3190 Steeles Avenue East, 200",Markham,Ontario,L3R 1G9,Canada,,Residential community ,Collingwood,Ontario,,Not available,"Removal of bird nests results in $5,750 fine",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/removal-bird-nests-results-fine.html,Guilty Plea,2011-12-02,,,,"Migratory Birds Convention Act, 1994 / Migratory Birds Regulations / 6(a)",,"Barrie, Ontario",Fine,"$2,500",$2500 directed toward Environmental Damages Fund
GNA Enterprises (2055829 Ontario Ltd.),10 Sandford Fleming Road,Collingwood,Ontario,L9Y 4V7,Canada,,Residential community ,Collingwood,Ontario,,Not available,"Removal of bird nests results in $5,750 fine",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/removal-bird-nests-results-fine.html,Guilty Plea,2011-12-02,,,,"Migratory Birds Convention Act, 1994 / Migratory Birds Regulations / 6(a)",,"Barrie, Ontario",Fine|Penalty for the EDF,"$5,750",$2500 to Environmental Damages Fund
Bergedac Ltée,"5161 rue Saint-Georges, #15",Lévis,Quebec,G6V 4P3,Canada,,"A sand pit located near Beaumont, Quebec ",Beaumont,Quebec,,Not available,"Bergedac Ltée, shareholder and employee fined $12,000 for destroying Bank Swallow nests",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/bergedac-shareholder-employee-destroy-nests.html,Guilty Plea,2016-04-05,,,,"Migratory Birds Convention Act, 1994 /  / 6. (a)",,Québec,Fine,"$8,000",
Syncrude Canada Ltd.,"200, 9911 MacDonald Avenue, PO Bag 4023, M.D. 2800",Fort McMurray,Alberta,T9H 3H5,Canada,,"Aurora Tailings Pond at Syncrude Canada Ltd. mining site located just north of Fort McMurray, Alberta",Fort McMurray,Alberta,,Not Available,,,Guilty (Court Decision),2010-10-22,,,,"Migratory Birds Convention Act, 1994 /  / 5.1(1) ",,"St. Albert, Alberta",Fine|Penalty for the EDF,"$3,000,000","Syncrude Canada Ltd. was sentenced to pay an award of approximately $3 million. The award consists of: • $300,000. This is the maximum fine available for an offence under the Migratory Birds Convention Act, 1994. This fine will be paid to the federal Environmental Damages Fund (EDF). • $500,000. This is the maximum fine under Alberta’s Environmental Protection Act. Half of the provincial fine will be directed towards the creation of a program for bird protection and monitoring and integrated with aboriginal training at Keyano College in Fort McMurray, Alberta. • $2.2 million to be applied to the following environmental projects: - $1.3 million to be held in trust by the University of Alberta for the Avian Protection Research Study; - $900,000 to purchase lands in the Golden Ranches Conservation Area near Edmonton."
Barry Group Inc.,Barry Group Inc.,Corner Brook,Newfoundland and Labrador,A2H 3E9,Canada,,,Witness Bay,Newfoundland and Labrador,Not available,Not Available,,,Guilty Plea,2012-11-29,,Other|Use of a substance without a permit,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Disposal at Sea Regulations / 124(a)(b)",2012-11-29,Newfoundland and Labrador,Fine|Penalty for the EDF,"$3,000","Nov 29th, 2012 - Barry Group Inc. entered a guilty plea to the Disposal at Sea permit violations under sec 124 CEPA 1999. Company was fined $3,000 to be paid to the EDF."
Tidan Inc./9145-1971 Quebec Inc./9034-1405 Quebec Inc./9166-9093 Quebec Inc./9058-9540 Quebec Inc./9049-5144 Quebec Inc./4158008 Canada Inc./2741-0612 Quebec Inc.,666 Sherbrooke Street West,Montreal,Quebec,H3A 1E7,Canada,,,Montreal,Quebec,"Tidan Inc. is a diversified real estate group founded in 1970 by Mike Yuval and Jack Sofer. With its many related and affiliated companies, the group’s real estate portfolio includes office buildings, associations and sports clubs, shopping centres, a hotel chain, residential complexes and industrial buildings located in Canada and the United States.
From 2011 to 2013, Environment and Climate Change Canada enforcement officers conducted inspections at various facilities owned by the Tidan Group. Several violations of the Canadian Environmental Protection Act, 1999 and its PCB Regulations were observed.
The investigation conducted by ECCC showed that Tidan Group did not follow the environmental protection compliance orders issued by the Department’s enforcement officers and did not meet its obligations related to the use, storage and disposal of electrical equipment containing PCBs (transformers, capacitors and ballasts). Tidan Group also failed to submit reports on the use and storage of its electrical equipment to the Department within the established timelines.",Not Available,,,Guilty Plea,2016-12-20,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / 238(1) 272(1)(a), 272(1)(h) and 272.1(1)(f)/|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 6(c), 19(1)(a), 19(1)(b), 21(1)(a), 39(1)",2016-12-20,Montreal,Penalty for the EDF,"$975,000","On December 20, 2016, Tidan Inc., and seven (7) affiliate companies (9145-1971 Quebec Inc., 9034-1405 Quebec Inc., 9166-9093 Quebec Inc., 9058-9540 Quebec Inc., 9049-5144 Quebec Inc., 4158008 Canada Inc. and 2741-0612 Quebec Inc.) pleaded guilty before the Court of Quebec in Montreal (Quebec) to 52 counts for violations of the Canadian Environmental Protection Act, 1999 and its PCB Regulations and were fined $975,000. The Tidan Group did not comply with the environmental protection orders issued by the Department’s enforcement officers, did not meet its obligations related to the use, storage and disposal of electrical equipment containing PCBs and did not submit the annual reports to the Department within established timelines. The fine was paid to the Environmental Damages Fund. The court ordered an article to be published on the facts related to the violations and ordered procedures and policies to be developed to guarantee the appropriate management of PCBs and other regulated toxic substances in all of their buildings, including taking an inventory of all electrical equipment containing PCBs and sending the disposal documents to ECCC. The accused were required to ensure that training on the penal and criminal charges from violations of the Act regarding environmental protection would be provided to all its managers. The accused must also implement a training program for the company’s staff who may be required to handle PCBs as part of their functions."
GBU Trading Ltd.,8400 Williams Road,Richmond,British Columbia,V7A 1G6,Canada,,,Montreal,Quebec,"In 2012, an inspection of the company LES ENCANS RITCHIE BROS (CANADA) LTÉE was performed verifying that twenty (20) generators imported by GBU TRADING LTD. complied with the Canadian Environmental Protection Act, 1999 and its Off-Road Compression-Ignition Engine Emission Regulations.
The information gathered and analyzed showed that GBU TRADING LTD. imported engines and equipment that did not comply with the federal regulation, since the stickers were not installed permanently and did not have a mention of “Ultra Low Sulfur Fuel Only.” Furthermore, GBU TRADING LTD. did not submit to the Department an import declaration before importing.",Not available,,,Guilty (Court Decision),2014-09-03,Provincial and Territorial Court,Other,Not Available,"Canadian Environmental Protection Act, 1999 (CEPA) / CEPA - Section(s) / INFO NEEDED",2014-09-03,Montreal,Fine,"$9,045","On September 3, 2014, GBU TRADING LTD. pleaded guilty before the Court of Quebec in Montreal (Quebec) to one count for the violation of the Canadian Environmental Protection Act, 1999 and its Off-Road Compression-Ignition Engine Emission Regulations. They were fined $5,000, in addition to $4,045.68 of fees, for a total of $9,045.68. A confiscation and disposal order for twenty (20) generators was also issued."
Big Jack Enterprises Ltd.,5331 Headland Drive,West Vancouver,British Columbia,V7W 3G4,Canada,,5331 Headland Drive,West Vancouver,British Columbia,Not available,Not Available,"Big Jack Enterprises to pay $17,000 and forfeit equipment for environmental violations",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/big-jack-enterprises-forfeit-equipment.html,Guilty Plea,2015-04-03,Provincial and Territorial Court,Import of non-compliant products,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Off-Road Small Spark-Ignition Engine Emission Regulations / 19(1)(f)(i)",2015-03-04,"British Columbia Provincial Court, Vancouver, BC",Fine|Penalty for the EDF,"$17,000","On March 4, 2015, in British Columbia Provincial Court, Big Jack Enterprises Ltd. pled guilty to a charge for importing for importing gas powered equipment that violated the provisions of the Off-Road Small Spark-Ignition Engine Emission Regulations, a Canadian Environmental Protection Act, 1999 regulation. The company was ordered to forfeit the seized equipment, valued at roughly $15,000, and sentenced to a fine of $17,000 to be directed to the Environmental Damages Fund."
Five Hills Regional Health Authority,455 Fairford Street East,Moose Jaw,Saskatchewan,S6H 1H3,Canada,,455 Fairford Street East (behind hospital) ,Moose Jaw,Saskatchewan,Not available,Not Available,,,Guilty Plea,2012-05-12,Provincial and Territorial Court,Other,Not available,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / not available,2014-05-12,Mosse Jaw Provincial Court,Fine|Penalty for the EDF,"$30,000",Not available
Velocity Inc.,525 Hebert,Valleyfield,Quebec,J6S 2B5,Canada,,,Valleyfield,Quebec,Not available,Not available,"Velocity Inc. and its President Fined $37,200 for Violating the Canadian Environmental Protection Act, 1999",http://www.ec.gc.ca/default.asp?lang=En&n=714D9AAE-1&news=BA9388BD-7CD6-4D17-94AC-C6C06EA8B67A,Guilty Plea,2012-11-07,Provincial and Territorial Court,Import of non-compliant products,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / Ozone-depleting Substances Regulations, 1998 / 272(1)(b)",2012-10-29,"Montreal, Quebec",Fine,"$37,200","On October 29, 2012, Velocity Inc., in Valleyfield, Quebec, and Stéphane Poirier, its President, were fined $37,200 after pleading guilty to illegally importing 600 cylinders of a controlled substance under the Ozone-Depleting Substances Regulations, 1998 (ODSR, 1998). The company was fined $30,000, and its President $7,200. The fines, which totaled $37,200, will be directed to the Environmental Damages Fund by the court."
Demvar Inc. ,303 Montpellier Street,Montreal,Quebec,H3A 1E7,Canada,,666 Sherbrooke Street West / 303 Montpellier Street,Montréal,Quebec,"The company DEMVAR INC. is a construction company working in demolition (architectural and structural) and in building decontamination (asbestos removal, lead cleaning, mould decontamination, ground decontamination, etc.) primarily in the commercial, institutional and industrial sectors.
In 2011, the Environment and Climate Change Canada (ECCC) enforcement officers inspected the dismantling of a PCB electric transformer owned by the company Tidan Inc.
The ECCC investigation showed that the dismantling of the transformer was performed by a company that was not specialized to perform this work, DEMVAR INC., which resulted in several violations of the PCB Regulations. Among other things, the transformer had not been adequately drained and cleaned. The drained transformer contaminated with PCBs had not been sent to an authorized facility. The oils contained in the transformer had not been sent to an authorized facility within the established timelines. The oils had also been stored in a location that does not meet the requirements of a PCB storage site, after the allowable date under the PCB Regulations.",Not Available,,,Guilty Plea,2015-07-10,Provincial and Territorial Court,,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 19(1)(b)|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 191(a)|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 21(1)(a)|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 272(1)(a)|Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 6(c)",2015-07-10,Montréal ,Penalty for the EDF,"$213,550","On July 10, 2015, DEMVAR INC. pleaded guilty before the Court of Quebec in Montreal (Quebec) to 5 counts for violations of the Canadian Environmental Protection Act, 1999 and its PCB Regulations and was fined $213,550. The court ordered the company to publish an article, with Environment and Climate Change Canada's assent, in a magazine exposing the facts related to the violation and the details on the court's fines and orders. The court also ordered the company to develop procedures and policies that guarantee appropriate management of PCBs and other regulated toxic substances."
Aevitas Inc.,75 Wanless Court,,Ontario,,Canada,,,,Saskatchewan,Not available,Not Available,"Waste management companies to pay $87,000 for PCB spill",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/waste-management-companies-pcb-spill.html,Guilty Plea,2015-04-02,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 5(1)(a)",2015-04-01,"Saskatchewan Provincial Court, Saskatoon, SK ",Fine|Penalty for the EDF,"$37,000","On January 14, 2015, before the Saskatchewan Provincial Court, Aevitas Inc., pleaded guilty to a charge following the release of approximately 100 litres of oil containing polychlorinated biphenyls (PCBs) from a tractor trailer at a weigh scale near Saskatoon, an offence under the PCB Regulations and the Canadian Environmental Protection Act, 1999 (CEPA 1999). On April 1, 2015, the company was sentenced to a fine of $37,000 to be paid to the Environmental Damages Fund (EDF)."
D. & L. Estates,87 Queen St. W.,Armstrong,Ontario,P0T 1A0,Canada,,Former Dept. of National Defense Radar Station,Armstrong,Ontario,Not available,Not Available,D. & L. Estates fined for environmental violation,https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/d-l-estates-fined-violation.html,Guilty (Court Decision),2015-11-25,Provincial and Territorial Court,Failure to comply with an EPCO,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) /  / s.272(1)(a), s.272.1(1)(f) ",2013-11-25,"Ontario Court of Justice, City of North Bay ",Fine,"$25,000","THUNDER BAY, Ont. – December 2, 2013 – D. & L. Estates Limited was sentenced Monday, November 25, 2013, to pay $25,000 in Ontario Provincial Court for an offence under the Canadian Environmental Protection Act, 1999, (CEPA, 1999) related to non-compliance with the PCB Regulations (SOR/2008-273). The offence took place at the former NORAD radar station in Armstrong Station, Ontario, close to the north shore of Lake Nipigon, now owned by D. & L. Estates."
Custom Environmental Services Ltd.,7722 - 9th Street,Edmonton,,,Canada,,Delmany Weigh Scale,Langham,Saskatchewan,Not available,Not Available,"Waste management companies to pay $87,000 for PCB spill",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/waste-management-companies-pcb-spill.html,Guilty Plea,2015-04-01,Provincial and Territorial Court,Other,Not available,"Canadian Environmental Protection Act, 1999 (CEPA) / PCB Regulations / 5(1)(a)",2015-04-01,"Saskatchewan Provincial Court, Saskatoon, SK",Fine|Penalty for the EDF,"$50,000","On January 14, 2015, before the Saskatchewan Provincial Court, Custom Environmental Services Ltd., pleaded guilty to a charge following the release of approximately 100 litres of oil containing polychlorinated biphenyls (PCBs) from a tractor trailer at a weigh scale near Saskatoon, an offence under the PCB Regulations and the Canadian Environmental Protection Act, 1999 (CEPA 1999). On April 1, 2015, the company was sentenced to a fine of $50,000 to be paid to the Environmental Damages Fund (EDF)."
